post,target
DataForge recrute un(e) stagiaire PFE Data Science (4-6 mois  Casablanca). Missions principales : traitement donnÃ©es NLP multilingue  dÃ©veloppement embeddings vectoriels  mise en place pipeline classification et validation rÃ©sultats ML. Profil recherchÃ© : Ã©tudiant(e) Master Data/IA  maÃ®trise Python  PyTorch et transformers. Avantages : encadrement par experts  accÃ¨s infrastructures  possibilitÃ© embauche post-stage. Envoyez dossier (CV + projets/GitHub) Ã  talent@dataforge.ma avant 10 fÃ©vrier 2026.,job_offer
IBM is seeking a software engineer to join our team in Paris (6 months). The successful candidate will be responsible for designing  developing  and testing software applications. Required skills include proficiency in Java  Python  and experience with cloud-based technologies. Please submit your resume and cover letter to jobs@ibm.com by February 15  2026.,job_offer
Je m'appelle Amine  Ã©tudiant en 3Ã¨me annÃ©e de licence en Informatique Ã  l'UCA de Casablanca. J'ai des compÃ©tences en analyse de donnÃ©es  programmation Python et utilise des bibliothÃ¨ques telles que Pandas et NumPy. Je suis intÃ©ressÃ© par des stages ou des opportunitÃ©s de travail dans le domaine de la data science. Vous pouvez me contacter Ã  contact@etu.uca.ma.,job_seeker
Oracle is looking for a cloud engineer to join our team in Rabat (4-6 months). The successful candidate will be responsible for designing  implementing  and managing cloud-based systems. Required skills include experience with Oracle Cloud Infrastructure  proficiency in Java or Python  and knowledge of cloud security best practices. Please submit your resume and cover letter to careers@oracle.com by February 20  2026.,job_offer
Hello  my name is Yassine and I'm a web development student at ENSET in Rabat. I have skills in HTML  CSS  JavaScript  and experience with React and Node.js. I'm interested in internships or job opportunities in web development. You can contact me at yassine.EL@gmail.com.,job_seeker
Capgemini is seeking a cybersecurity analyst to join our team in Lyon (6 months). The successful candidate will be responsible for monitoring and analyzing security threats  implementing security measures  and responding to incidents. Required skills include experience with security information and event management systems  proficiency in Python or PowerShell  and knowledge of cybersecurity frameworks. Please submit your resume and cover letter to talent@capgemini.com by February 25  2026.,job_offer
Je m'appelle Souad  Ã©tudiante en 2Ã¨me annÃ©e de master en Intelligence Artificielle Ã  l'ESI de Casablanca. J'ai des compÃ©tences en apprentissage automatique  programmation Python et utilise des bibliothÃ¨ques telles que TensorFlow et Keras. Je suis intÃ©ressÃ©e par des stages ou des opportunitÃ©s de travail dans le domaine de l'IA. Vous pouvez me contacter Ã  contact@esi.ac.ma.,job_seeker
Microsoft is looking for a data engineer to join our team in Paris (4-6 months). The successful candidate will be responsible for designing  building  and maintaining large-scale data systems. Required skills include experience with data engineering tools such as Apache Beam  proficiency in Java or Python  and knowledge of data storage solutions such as Azure Data Lake. Please submit your resume and cover letter to careers@microsoft.com by March 1  2026.,job_offer
Hello  my name is Oumaima and I'm a digital marketing student at ISCAE in Casablanca. I have skills in social media marketing  SEO  and experience with Google Analytics. I'm interested in internships or job opportunities in digital marketing. You can contact me at oumaima.ZA@gmail.com.,job_seeker
Accenture is seeking an IT consultant to join our team in Rabat (6 months). The successful candidate will be responsible for analyzing business needs  designing and implementing IT solutions  and providing technical support. Required skills include experience with IT service management  proficiency in Java or Python  and knowledge of cloud-based technologies. Please submit your resume and cover letter to talent@accenture.com by March 5  2026.,job_offer
Je m'appelle Mohamed  Ã©tudiant en 3Ã¨me annÃ©e de licence en Informatique Ã  l'UM5A de Rabat. J'ai des compÃ©tences en rÃ©seau informatique  programmation Python et utilise des outils tels que Cisco Packet Tracer. Je suis intÃ©ressÃ© par des stages ou des opportunitÃ©s de travail dans le domaine des rÃ©seaux. Vous pouvez me contacter Ã  contact@um5a.ac.ma.,job_seeker
